Date,Open,High,Low,Close,Volume,Closen,sma,bbm,bbh,bbl,CCI,CloseOpen_g,rmax,rmin,Close_ah,Close_al,Close_ah_2,Close_al_2,Close_r,Close_f,Close_rp,Closebbh_c,Close_ah100_v,Close_74,vol
2020-09-23,112.64,112.74,109.33,109.45,1778583,110.02,113.69,113.69,116.57,110.80,-205.50,-2.91,116.13,109.27,0.0,90.0,98.0,98.54,0.00,109.45,,0.00,0,114.16,0.86
2020-09-24,108.14,111.11,107.85,110.58,2050386,109.70,113.41,113.41,116.33,110.49,-135.45,2.21,116.05,109.27,0.0,85.0,98.0,98.51,110.58,0.00,110.58,0.00,0,114.12,1.00
2020-09-25,110.81,110.89,106.82,108.81,2757837,107.97,113.09,113.09,116.29,109.90,-187.63,-1.84,116.05,108.81,15.0,100.0,98.09,98.6,0.00,108.81,,0.00,0,114.07,1.34
2020-09-28,102.30,107.75,101.32,107.13,5926041,106.49,112.81,112.81,116.51,109.11,-215.03,4.51,116.05,107.13,10.0,100.0,98.06,98.6,0.00,107.13,,0.00,0,114.01,2.88
2020-09-29,107.03,108.03,105.84,105.84,1992445,105.47,112.41,112.41,116.69,108.14,-215.30,-1.12,116.05,105.84,5.0,100.0,98.03,98.6,0.00,105.84,,0.00,0,113.90,0.97
2020-09-30,105.26,106.18,105.03,105.10,1864002,104.51,111.87,111.87,116.54,107.20,-202.85,-0.15,115.98,105.10,0.0,100.0,98.0,98.6,0.00,105.10,,0.00,0,113.73,0.91
2020-10-01,105.81,106.00,103.84,103.92,1610917,103.54,111.37,111.37,116.61,106.13,-199.21,-1.82,115.98,103.92,50.0,100.0,98.3,98.6,0.00,103.92,,0.00,0,113.48,0.78
2020-10-02,102.51,103.64,102.32,103.16,1568290,103.86,110.89,110.89,116.70,105.09,-186.45,0.63,115.98,103.16,45.0,100.0,98.27,98.6,0.00,103.16,,0.00,0,113.13,0.76
2020-10-05,103.47,104.87,103.19,104.56,1264709,105.34,110.41,110.41,116.43,104.39,-136.07,1.04,115.98,103.16,40.0,95.0,98.24,98.57,104.56,0.00,,0.00,0,112.67,0.61
2020-10-06,104.99,106.72,103.97,106.12,1436010,106.28,110.09,110.09,116.21,103.97,-90.84,1.06,115.98,103.16,35.0,90.0,98.21,98.54,106.12,0.00,,0.00,0,112.10,0.70
2020-10-07,105.88,106.62,105.49,106.43,1516412,107.21,109.66,109.66,115.65,103.67,-75.45,0.52,115.98,103.16,30.0,85.0,98.18,98.51,106.43,0.00,,0.00,0,111.45,0.74
2020-10-08,106.70,108.14,106.04,107.99,1727902,108.34,109.33,109.33,115.11,103.55,-32.39,1.19,115.98,103.16,25.0,80.0,98.15,98.48,107.99,0.00,,0.00,0,110.73,0.84
2020-10-09,108.14,108.88,107.54,108.69,1466245,109.12,109.06,109.06,114.62,103.49,-9.19,0.51,115.98,103.16,20.0,75.0,98.12,98.45,108.69,0.00,,0.00,0,109.97,0.71
2020-10-12,108.47,109.90,107.97,109.55,1258860,108.97,108.84,108.84,114.18,103.50,18.59,0.99,115.98,103.16,15.0,70.0,98.09,98.42,109.55,0.00,109.55,0.00,0,109.21,0.61
2020-10-13,109.78,109.99,107.60,108.38,1315754,108.95,108.57,108.57,113.64,103.49,-5.12,-1.29,115.98,103.16,10.0,65.0,98.06,98.39,0.00,108.38,,0.00,0,108.48,0.64
2020-10-14,108.55,109.88,108.53,109.51,977599,108.02,108.26,108.26,112.79,103.73,38.68,0.88,115.98,103.16,5.0,60.0,98.03,98.36,109.51,0.00,109.51,0.00,0,107.82,0.48
2020-10-15,108.32,108.32,105.14,106.53,2003757,107.32,107.79,107.79,111.55,104.02,-46.73,-1.68,114.61,103.16,0.0,55.0,98.0,98.33,0.00,106.53,,0.00,0,107.26,0.97
2020-10-16,106.55,108.32,106.14,108.10,1741530,107.86,107.46,107.46,110.49,104.43,29.52,1.43,110.58,103.16,0.0,50.0,98.0,98.3,108.10,0.00,108.10,0.00,0,106.85,0.85
2020-10-19,108.24,109.57,106.88,107.62,1041721,107.76,107.38,107.38,110.35,104.41,11.36,-0.58,110.58,103.16,15.0,45.0,98.09,98.27,0.00,107.62,,0.00,0,106.57,0.51
2020-10-20,106.78,108.49,106.35,107.89,1305059,106.89,107.27,107.27,110.11,104.43,30.69,1.03,110.58,103.16,10.0,40.0,98.06,98.24,107.89,0.00,107.89,0.00,0,106.44,0.63
2020-10-21,108.51,108.63,105.59,105.88,1419356,106.05,107.09,107.09,109.86,104.32,-61.04,-2.48,110.58,103.16,5.0,35.0,98.03,98.21,0.00,105.88,,0.00,0,106.45,0.69
2020-10-22,105.40,106.53,104.29,106.21,1671311,106.53,106.87,106.87,109.40,104.34,-36.52,0.76,109.55,103.16,0.0,30.0,98.0,98.18,106.21,0.00,,0.00,0,106.58,0.81
